order_id,customer_id,order_date,order_status,order_amount,currency,sales_channel
ORD-0001,CUS-00000001,2025-01-10,COMPLETED,120.00,EUR,WEB
ORD-0002,CUS-00000002,2025-01-15,COMPLETED,89.50,EUR,WEB
ORD-0003,CUS-00000004,2025-02-01,COMPLETED,4300.00,EUR,SALES_REP
ORD-0004,CUS-00000005,2025-02-11,COMPLETED,59.99,USD,WEB
ORD-0005,CUS-99999999,2025-02-20,COMPLETED,240.00,EUR,WEB
ORD-0006,CUS-00000006,2025-03-02,CANCELLED,0.00,EUR,WEB
ORD-0007,CUS-00000009,2025-03-09,COMPLETED,-45.00,EUR,STORE
ORD-0008,CUS-00000010,2025-03-15,COMPLETED,310.75,EUR,WEB
ORD-0009,CUS-00000012,2025-03-20,PENDING,150.00,EUR,WEB
ORD-0010,CUS-00000015,2025-04-01,COMPLETED,75.00,EUR,STORE
ORD-0011,CUS-00000001,2025-04-05,COMPLETED,65.00,EUR,WEB
ORD-0012,CUS-00000013,2025-04-10,COMPLETED,199.00,EUR,WEB
