product_id,product_name,category,unit_price,currency,status,supplier_id,created_at
PRD-000001,Wireless Mouse,ACCESSORIES,19.90,EUR,ACTIVE,SUP-001,2024-01-10
PRD-000002,Mechanical Keyboard,ACCESSORIES,79.00,EUR,ACTIVE,SUP-001,2024-01-12
PRD-000003,4K Monitor,,299.00,EUR,ACTIVE,SUP-002,2024-02-01
PRD-000004,USB-C Hub,ACCESSORIES,-5.00,EUR,ACTIVE,SUP-002,2024-02-15
PRD-5,Laptop Stand,ACCESSORIES,34.50,EUR,ACTIVE,SUP-003,2024-03-01
PRD-000006,Webcam HD,PERIPHERALS,49.00,EUR,INACTIVE,,2024-03-10
PRD-000007,Noise-Cancelling Headset,AUDIO,129.00,EUR,ACTIVE,SUP-001,2024-04-01
PRD-000008,Docking Station,PERIPHERALS,159.00,,ACTIVE,SUP-002,2024-04-20
PRD-000009,Ergonomic Chair,FURNITURE,240.00,EUR,ACTIVE,SUP-004,2024-05-05
PRD-000010,Standing Desk,FURNITURE,520.00,EUR,ACTIVE,SUP-004,2024-05-18
